,Num,Ra,Dec,Redshift,Eiso,Liso,Epeak,Duration,Gamma0(H),Gamma0(W),Phflux(15-150),alfa,beta,PhFlux(10-1000)
132,133,209.6935,-62.5255,0.4602651593963101,1.147775520485172e+53,2.2207418244294405e+51,448.04435933275187,188.537,195.91099999999997,92.601,7.7010000000000005,-0.978,-2.423,11.607999999999999
133,134,57.3389,-3.2961,1.6438117863049373,2.7776885031335097e+53,1.1747975132001862e+52,309.2207351322681,188.0,495.713,199.236,3.6,-0.941,-2.465,4.913
134,135,255.0898,65.2681,0.596971288592589,3.258527912132455e+52,1.3050278957355968e+53,290.72247941662636,1.165,613.303,160.65200000000002,358.39300000000003,-0.937,-2.451,505.519
135,136,48.3741,-63.2561,1.5773148896700997,2.2553537283068698e+52,2.5805447185327547e+52,586.4615336385624,4.9910000000000005,333.05,100.572,5.678,-0.823,-2.615,8.199
136,137,166.0533,70.5906,3.0664453169743275,4.323300936937797e+52,5.454697405534428e+52,650.6356900856513,15.245999999999999,372.29,120.73200000000001,3.287,-0.897,-2.65,4.539
137,138,349.915,-16.4426,1.7168455723596927,8.409214264552184e+52,1.187344817155608e+52,226.6608040893419,47.997,254.639,104.715,3.855,-1.04,-2.445,5.313
138,139,348.9096,66.2914,2.0597450531093866,8.402324427242889e+53,8.040861829342872e+52,736.247832153935,96.11,274.337,161.506,8.78,-1.084,-2.374,12.845999999999998
139,140,212.1759,5.9417,1.9215724849677849,2.2794484924246084e+53,2.1957411262003565e+52,531.6128371793876,115.73200000000001,520.35,199.114,3.825,-1.067,-2.565,5.4270000000000005
140,141,7.1949,56.4032,1.2651734620834505,5.581730984913647e+51,7.23656191674411e+51,84.44678556577819,4.1160000000000005,256.72900000000004,66.995,6.5489999999999995,-1.1059999999999999,-2.541,9.62
141,142,286.5639,-52.063,1.8017167925034463,5.306033342618249e+53,1.3909365129523498e+52,376.47180416938767,421.589,528.578,231.63299999999998,3.162,-0.862,-2.508,4.305
142,143,28.0209,50.9113,1.797642450643639,2.997220285031407e+53,1.6873481053887386e+53,1699.4686908418396,14.950999999999999,159.181,94.619,15.655999999999999,-1.1740000000000002,-2.485,24.962
143,144,352.6881,-36.9323,1.423534958864318,8.067319305108994e+52,1.0050067712255536e+52,274.2518551474632,57.898,73.801,45.544,4.541,-1.217,-2.441,6.419
144,145,76.8766,-70.8811,1.5313511698082152,1.6040104330123557e+52,8.690499357161791e+51,225.53790003078498,11.835,473.171,120.08200000000001,3.7260000000000004,-0.9840000000000001,-2.481,5.087
